"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Neuss I",44.0060142016021,28.6268415333687,8.64225608369343,5.39193389432189,5.13670937255199,7.24357516488515,6.57,23,48.8
"Mönchengladbach",44.2844767446318,24.352399132188,9.13042478323866,6.83900247617733,5.99035594090906,7.83867283027836,10.43,25.8,51.9
"Krefeld I – Neuss II",42.442443093822,25.473404739904,7.28620326144956,5.08609133620521,6.5983835912386,11.5009695849656,7.18,25.2,45.4
"Viersen",47.8839339829363,25.0203972213157,7.01431302158609,5.09755699566413,6.6885402582871,8.29525852021073,6.57,16.8,55.5
"Kleve",45.0336665133202,30.5878346487271,6.58154943630248,4.23893366472096,4.91644610669327,7.58168685064256,6.32,18.3,62.9
"Wesel I",38.9772934955917,32.8232825173151,8.57969333929933,5.96305702779861,5.52190928742036,7.96838861334661,7.1,19,43.1
"Krefeld II – Wesel II",36.8222868745644,32.0604903476074,8.55305027729793,5.62778434403128,6.0823711246477,8.18786556353608,8.28,23.2,36.2
"Duisburg I",28.6713816620359,38.2714490191126,11.4911172855098,6.85863433526985,5.59821503746737,6.97987707333502,11.57,31.2,30.8
"Duisburg II",26.4701196805863,34.8318298584145,16.4784833821216,8.86851066371946,4.63388892207818,6.96278152816775,14.67,31.2,31.1
"Oberhausen – Wesel III",29.0823043322689,38.4732752276855,12.2852262677136,7.64982683076674,5.63660790839921,6.31713261455162,10.22,22.4,38.8
"Mülheim – Essen I",31.3467645891227,34.8933817274429,11.4990358985992,6.52895139794703,6.16032439176544,9.02639936482731,10.19,23.9,35.4
"Essen II",26.584769295842,37.3328797101716,15.7722934328852,7.86637732864998,5.37543446677823,6.62688268937234,15.26,24.5,36.2
"Essen III",37.0752905906485,30.7874875085468,8.09051701467417,6.47320254562668,8.22529322042813,8.30944616841109,8.76,24.5,38.3
"Recklinghausen I",30.9164832827494,38.6578751462299,11.4145240062501,6.57973314572272,4.9730446093309,7.19164914634446,10.56,20.1,40.3
"Recklinghausen II",34.5178112376056,41.1391847227323,12.0879869712815,8.4480352552332,4.67278736687477,10.2100624311421,9.97,20.1,42.4
"Gelsenkirchen",25.3502295121058,38.3289474804766,16.8927722848164,6.48339763078783,4.63622969946263,6.70567095032489,14.93,29.4,33.7
"Steinfurt I – Borken I",51.2414229847687,25.8410534631229,6.05140659785468,4.93174295395342,5.30257032989273,6.63180367040758,4.81,15.6,65.2
"Bottrop – Recklinghausen III",33.5690932141189,36.7698672182558,11.8656168679522,6.33815973843998,4.35310602522186,6.47427770734637,8.99,21.5,46.9
"Borken II",52.3169666932025,25.302380524383,12.0879869712815,4.47343416964125,6.73839911661231,9.12726945892504,3.71,14.7,73
"Coesfeld – Steinfurt II",51.6106256598934,23.4808687597567,12.0879869712815,6.20413133740551,8.21344595513697,10.4909282878074,2.96,11.9,67.1
"Steinfurt III",44.7665919178689,30.2937693900366,6.30403577358391,5.63592705046536,6.52034424136585,5.64452646967382,3.89,16.2,51.2
"Münster",37.1887114444632,28.8523933928872,4.513947412776,6.85993595145795,12.7717849317377,6.96264537333558,5.58,20.4,51.3
"Warendorf",46.4241509060303,27.9080849589068,6.85587681948708,4.78884047925537,5.55005446083771,6.98769680166353,5.64,21.1,59.1
"Gütersloh I",46.5539751254037,28.0274399322018,8.01552944410087,4.34217458026982,5.72218786504501,6.52843629034105,4.79,26.8,39.4
"Bielefeld – Gütersloh II",30.686022568605,33.1879105296614,8.14295260810275,8.95789982668789,9.63158952738494,7.32963528395478,8.92,32.7,16.1
"Herford – Minden-Lübbecke II",35.7388563710041,36.7624193306318,9.9852919105508,5.61488818850368,5.06618640252139,5.64610535794687,5.86,25.7,10.7
"Minden-Lübbecke I",35.4835904947264,37.36230662734,9.8938582234796,5.25759612619301,4.9298741949076,7.0727743333534,5.13,23.9,8.2
"Lippe I",36.554915656403,32.140920983367,10.2178712571792,5.39767593516503,6.0270119503131,8.39900374773133,6.49,26.2,10.5
"Höxter – Lippe II",44.2897165458141,26.7417980832615,9.15204604228994,5.52837077227321,5.94987576694894,6.84866386085898,6.06,21.6,40.8
"Paderborn – Gütersloh III",53.3443248310865,19.9264000689663,9.10085237987478,5.147684781086,5.98874987877025,5.51083524606946,5.45,28.1,57.8
"Hagen – Ennepe-Ruhr-Kreis I",30.308629071955,39.2485553030661,11.2757162797284,5.42477798531365,3.87859825624911,7.9075663683994,8.97,28.2,25.9
"Ennepe-Ruhr-Kreis II",32.9478478299696,36.7119128415789,12.0879869712815,8.06319580877538,8.58635470619754,10.5256891111508,6.78,19.6,25.2
"Bochum I",28.2361744537837,37.1956057566394,9.53032169835055,9.9741325368821,7.7002470633011,7.04678720947485,9.3,23.5,32.9
"Herne – Bochum II",24.1819207872,41.8303354979215,13.3698425440932,8.00394235889773,5.56460779092781,6.72506020840454,11.84,26.1,32.1
